timestamp,gnb,fivegs_amffunction_mm_confupdate_total,fivegs_amffunction_rm_reginitreq_total,fivegs_amffunction_rm_regemergreq_total,fivegs_amffunction_mm_paging5greq_total,fivegs_amffunction_rm_regperiodreq_total,fivegs_amffunction_mm_confupdatesucc_total,fivegs_amffunction_rm_reginitsucc_total,fivegs_amffunction_amf_authreject_total,fivegs_amffunction_rm_regmobreq_total,amf_session,fivegs_amffunction_rm_regmobsucc_total,fivegs_amffunction_amf_authreq_total,fivegs_amffunction_rm_regemergsucc_total,fivegs_amffunction_mm_paging5gsucc_total,ran_ue,fivegs_amffunction_rm_regperiodsucc_total,"fivegs_amffunction_rm_registeredsubnbr{plmnid=""00101"",snssai=""1""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:09:00.532000064,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:00.823999882,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:01.132999897,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:01.423000097,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:01.733999968,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:02.022000074,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:02.328000069,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:02.621999979,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:02.921999931,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:03.229000092,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:03.523999929,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:03.841000080,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:04.127000093,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:04.431999922,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:04.733999968,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:05.020999908,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:09:05.332999945,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
